,0,1,2,3,4
0,C61943.jpg,0.0,Green,Brown,Black
1,C66159.jpg,1.0,Brown,Brown,Black
2,C81347.jpg,1.0,Brown,Brown,Black
3,C81522.jpg,1.0,Brown,Brown,White
4,C83534.jpg,1.0,Brown,Brown,White
5,K00158.jpg,1.0,Brown,Brown,Black
6,K00238.jpg,1.0,Brown,Brown,Black
7,K01110.jpg,1.0,Brown,Brown,Black
8,K01714.jpg,0.0,Green,Brown,Black
9,K02114.jpg,1.0,Brown,Brown,Black
10,K02486.jpg,0.0,Blue,Brown,Black
11,K02641.jpg,0.0,Blue,Brown,Black
12,K02694.jpg,1.0,Brown,Brown,Black
13,K02819.jpg,1.0,Brown,Brown,Black
14,K02845.jpg,1.0,Brown,Brown,White
15,K02872.jpg,0.0,Green,Brown,White
16,K03460.jpg,1.0,Brown,Brown,Black
17,K03716.jpg,0.0,Blue,Brown,Black
18,K04027.jpg,1.0,Brown,Brown,Black
19,K04467.jpg,1.0,Brown,Brown,Black
20,K04714.jpg,1.0,Brown,Brown,Black
21,K04784.jpg,0.0,Blue,Brown,Black
22,K50114.jpg,1.0,Brown,Brown,Black
23,K50822.jpg,0.0,Blue,Brown,Black
24,K82905.jpg,1.0,Brown,Brown,Black
25,K82936.jpg,1.0,Brown,Brown,Hispanic
26,K83023.jpg,0.0,Green,Brown,Black
27,K83071.jpg,1.0,Brown,Brown,Black
28,K83143.jpg,0.0,Blue,Brown,Black
29,K83531.jpg,1.0,Brown,Brown,White
30,K83627.jpg,1.0,Brown,Brown,Black
31,K83739.jpg,1.0,Brown,Brown,Black
32,K83829.jpg,1.0,Brown,Brown,Black
33,K83977.jpg,0.0,Green,Brown,Hispanic
34,K84020.jpg,1.0,Brown,Brown,Black
35,K84030.jpg,0.0,Blue,Brown,Hispanic
36,K84204.jpg,1.0,Brown,Brown,Black
37,K84312.jpg,0.0,Blue,Brown,Black
38,K84380.jpg,1.0,Brown,Brown,Black
39,K84472.jpg,0.0,Blue,Brown,Black
40,K84475.jpg,1.0,Brown,Brown,Black
41,K84492.jpg,1.0,Brown,Brown,Black
42,K84563.jpg,0.0,Blue,Brown,Hispanic
43,K84880.jpg,1.0,Brown,Brown,Hispanic
44,K84959.jpg,1.0,Brown,Brown,Black
45,K84998.jpg,1.0,Brown,Brown,Hispanic
46,K85045.jpg,1.0,Brown,Brown,Black
47,K85269.jpg,1.0,Brown,Brown,Black
48,K85464.jpg,1.0,Brown,Brown,Black
49,K86158.jpg,0.0,Green,Brown,Black
50,K86732.jpg,0.0,Green,Brown,White
51,K86766.jpg,1.0,Brown,Brown,Black
52,K86921.jpg,1.0,Brown,Brown,Black
53,K87392.jpg,1.0,Brown,Brown,Black
54,K88089.jpg,0.0,Blue,Brown,White
55,K88126.jpg,0.0,Blue,Brown,Black
56,K88147.jpg,0.0,Blue,Brown,Black
57,K88148.jpg,1.0,Brown,Brown,Black
58,K88194.jpg,0.0,Blue,Brown,Black
59,K88233.jpg,0.0,Blue,Brown,Black
60,K88350.jpg,0.0,Blue,Brown,Black
61,K88722.jpg,1.0,Brown,Brown,Black
62,K88803.jpg,1.0,Brown,Brown,White
63,K88886.jpg,1.0,Brown,Brown,Black
64,K89086.jpg,0.0,Blue,Brown,Black
65,K89302.jpg,0.0,Green,Brown,Black
66,K89595.jpg,0.0,Blue,Brown,Hispanic
67,K89730.jpg,1.0,Brown,Brown,Black
68,K89906.jpg,1.0,Brown,Brown,White
69,K89959.jpg,1.0,Brown,Brown,White
70,K89987.jpg,1.0,Brown,Brown,Hispanic
71,K90284.jpg,1.0,Brown,Brown,Black
72,K90537.jpg,1.0,Brown,Brown,Black
73,K90602.jpg,1.0,Brown,Brown,Black
74,K90824.jpg,1.0,Brown,Brown,Black
75,K90973.jpg,1.0,Brown,Brown,White
76,K91175.jpg,0.0,Blue,Brown,Black
77,K91215.jpg,1.0,Brown,Brown,Black
78,K91280.jpg,0.0,Green,Brown,Black
79,K91318.jpg,1.0,Brown,Brown,Black
80,K91615.jpg,0.0,Green,Brown,Black
81,K91763.jpg,1.0,Brown,Brown,Black
82,K91930.jpg,1.0,Brown,Brown,Black
83,K92086.jpg,0.0,Green,Brown,Black
84,K92261.jpg,1.0,Brown,Brown,Black
85,K92768.jpg,0.0,Blue,Brown,Black
86,K92840.jpg,1.0,Brown,Brown,Black
87,K92899.jpg,1.0,Brown,Brown,White
